Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2003-12-31,,,,1000.0,,,NSE/CNX_ALPHA_INDEX
2004-01-01,,,,1015.79,,,NSE/CNX_ALPHA_INDEX
2004-01-02,,,,1026.63,,,NSE/CNX_ALPHA_INDEX
2004-01-05,,,,1018.69,,,NSE/CNX_ALPHA_INDEX
2004-01-06,,,,1005.27,,,NSE/CNX_ALPHA_INDEX
2004-01-07,,,,996.9,,,NSE/CNX_ALPHA_INDEX
2004-01-08,,,,1033.63,,,NSE/CNX_ALPHA_INDEX
2004-01-09,,,,1038.18,,,NSE/CNX_ALPHA_INDEX
2004-01-12,,,,1021.97,,,NSE/CNX_ALPHA_INDEX
2004-01-13,,,,1023.08,,,NSE/CNX_ALPHA_INDEX
2004-01-14,,,,1044.21,,,NSE/CNX_ALPHA_INDEX
2004-01-15,,,,1035.59,,,NSE/CNX_ALPHA_INDEX
2004-01-16,,,,1015.1,,,NSE/CNX_ALPHA_INDEX
2004-01-19,,,,1013.46,,,NSE/CNX_ALPHA_INDEX
2004-01-20,,,,1003.53,,,NSE/CNX_ALPHA_INDEX
2004-01-21,,,,940.22,,,NSE/CNX_ALPHA_INDEX
2004-01-22,,,,920.2,,,NSE/CNX_ALPHA_INDEX
2004-01-23,,,,963.31,,,NSE/CNX_ALPHA_INDEX
2004-01-27,,,,993.18,,,NSE/CNX_ALPHA_INDEX
2004-01-28,,,,974.82,,,NSE/CNX_ALPHA_INDEX
2004-01-29,,,,972.34,,,NSE/CNX_ALPHA_INDEX
2004-01-30,,,,942.75,,,NSE/CNX_ALPHA_INDEX
2004-02-03,,,,901.43,,,NSE/CNX_ALPHA_INDEX
2004-02-04,,,,926.15,,,NSE/CNX_ALPHA_INDEX
2004-02-05,,,,928.46,,,NSE/CNX_ALPHA_INDEX
2004-02-06,,,,939.95,,,NSE/CNX_ALPHA_INDEX
2004-02-09,,,,957.38,,,NSE/CNX_ALPHA_INDEX
2004-02-10,,,,959.44,,,NSE/CNX_ALPHA_INDEX
2004-02-11,,,,967.25,,,NSE/CNX_ALPHA_INDEX
2004-02-12,,,,980.08,,,NSE/CNX_ALPHA_INDEX
2004-02-13,,,,998.13,,,NSE/CNX_ALPHA_INDEX
2004-02-16,,,,1006.64,,,NSE/CNX_ALPHA_INDEX
2004-02-17,,,,1004.28,,,NSE/CNX_ALPHA_INDEX
2004-02-18,,,,1004.39,,,NSE/CNX_ALPHA_INDEX
2004-02-19,,,,986.43,,,NSE/CNX_ALPHA_INDEX
2004-02-20,,,,980.32,,,NSE/CNX_ALPHA_INDEX
2004-02-23,,,,960.6,,,NSE/CNX_ALPHA_INDEX
2004-02-24,,,,959.85,,,NSE/CNX_ALPHA_INDEX
2004-02-25,,,,941.8,,,NSE/CNX_ALPHA_INDEX
2004-02-26,,,,935.14,,,NSE/CNX_ALPHA_INDEX
2004-02-27,,,,937.48,,,NSE/CNX_ALPHA_INDEX
2004-03-01,,,,959.33,,,NSE/CNX_ALPHA_INDEX
2004-03-03,,,,965.91,,,NSE/CNX_ALPHA_INDEX
2004-03-04,,,,960.45,,,NSE/CNX_ALPHA_INDEX
2004-03-05,,,,971.93,,,NSE/CNX_ALPHA_INDEX
2004-03-08,,,,988.07,,,NSE/CNX_ALPHA_INDEX
2004-03-09,,,,981.07,,,NSE/CNX_ALPHA_INDEX
2004-03-10,,,,980.59,,,NSE/CNX_ALPHA_INDEX
2004-03-11,,,,962.15,,,NSE/CNX_ALPHA_INDEX
2004-03-12,,,,960.79,,,NSE/CNX_ALPHA_INDEX
2004-03-15,,,,942.52,,,NSE/CNX_ALPHA_INDEX
2004-03-16,,,,922.88,,,NSE/CNX_ALPHA_INDEX
2004-03-17,,,,930.94,,,NSE/CNX_ALPHA_INDEX
2004-03-18,,,,916.3,,,NSE/CNX_ALPHA_INDEX
2004-03-19,,,,910.93,,,NSE/CNX_ALPHA_INDEX
2004-03-22,,,,871.71,,,NSE/CNX_ALPHA_INDEX
2004-03-23,,,,862.02,,,NSE/CNX_ALPHA_INDEX
2004-03-24,,,,864.63,,,NSE/CNX_ALPHA_INDEX
2004-03-25,,,,884.31,,,NSE/CNX_ALPHA_INDEX
2004-03-26,,,,905.58,,,NSE/CNX_ALPHA_INDEX
2004-03-29,,,,921.62,,,NSE/CNX_ALPHA_INDEX
2004-03-30,,,,935.86,,,NSE/CNX_ALPHA_INDEX
2004-03-31,,,,946.88,,,NSE/CNX_ALPHA_INDEX
2004-04-01,,,,974.14,,,NSE/CNX_ALPHA_INDEX
2004-04-02,,,,989.21,,,NSE/CNX_ALPHA_INDEX
2004-04-05,,,,998.58,,,NSE/CNX_ALPHA_INDEX
2004-04-06,,,,989.47,,,NSE/CNX_ALPHA_INDEX
2004-04-07,,,,982.66,,,NSE/CNX_ALPHA_INDEX
2004-04-08,,,,988.47,,,NSE/CNX_ALPHA_INDEX
2004-04-12,,,,996.95,,,NSE/CNX_ALPHA_INDEX
2004-04-13,,,,1004.23,,,NSE/CNX_ALPHA_INDEX
2004-04-15,,,,1008.7,,,NSE/CNX_ALPHA_INDEX
2004-04-16,,,,1015.8,,,NSE/CNX_ALPHA_INDEX
2004-04-17,,,,1026.68,,,NSE/CNX_ALPHA_INDEX
2004-04-19,,,,1010.59,,,NSE/CNX_ALPHA_INDEX
2004-04-20,,,,1009.51,,,NSE/CNX_ALPHA_INDEX
2004-04-21,,,,1027.59,,,NSE/CNX_ALPHA_INDEX
2004-04-22,,,,1042.89,,,NSE/CNX_ALPHA_INDEX
2004-04-23,,,,1051.07,,,NSE/CNX_ALPHA_INDEX
2004-04-27,,,,1004.0,,,NSE/CNX_ALPHA_INDEX
2004-04-28,,,,1009.7,,,NSE/CNX_ALPHA_INDEX
2004-04-29,,,,1017.6,,,NSE/CNX_ALPHA_INDEX
2004-04-30,,,,1006.09,,,NSE/CNX_ALPHA_INDEX
2004-05-03,,,,982.12,,,NSE/CNX_ALPHA_INDEX
2004-05-04,,,,1003.84,,,NSE/CNX_ALPHA_INDEX
2004-05-05,,,,1017.58,,,NSE/CNX_ALPHA_INDEX
2004-05-06,,,,1028.06,,,NSE/CNX_ALPHA_INDEX
2004-05-07,,,,1015.27,,,NSE/CNX_ALPHA_INDEX
2004-05-10,,,,1004.21,,,NSE/CNX_ALPHA_INDEX
2004-05-11,,,,953.52,,,NSE/CNX_ALPHA_INDEX
2004-05-12,,,,960.74,,,NSE/CNX_ALPHA_INDEX
2004-05-13,,,,966.4,,,NSE/CNX_ALPHA_INDEX
2004-05-14,,,,881.15,,,NSE/CNX_ALPHA_INDEX
2004-05-17,,,,778.57,,,NSE/CNX_ALPHA_INDEX
2004-05-18,,,,824.41,,,NSE/CNX_ALPHA_INDEX
2004-05-19,,,,881.09,,,NSE/CNX_ALPHA_INDEX
