Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2003-12-31,,,,1000.0,,,NSE/CNX_HIGH_BETA
2004-01-01,,,,1021.19,,,NSE/CNX_HIGH_BETA
2004-01-02,,,,1037.81,,,NSE/CNX_HIGH_BETA
2004-01-05,,,,1034.04,,,NSE/CNX_HIGH_BETA
2004-01-06,,,,1005.68,,,NSE/CNX_HIGH_BETA
2004-01-07,,,,993.88,,,NSE/CNX_HIGH_BETA
2004-01-08,,,,1041.76,,,NSE/CNX_HIGH_BETA
2004-01-09,,,,1034.31,,,NSE/CNX_HIGH_BETA
2004-01-12,,,,1012.47,,,NSE/CNX_HIGH_BETA
2004-01-13,,,,1022.18,,,NSE/CNX_HIGH_BETA
2004-01-14,,,,1036.1,,,NSE/CNX_HIGH_BETA
2004-01-15,,,,1010.81,,,NSE/CNX_HIGH_BETA
2004-01-16,,,,972.4,,,NSE/CNX_HIGH_BETA
2004-01-19,,,,986.54,,,NSE/CNX_HIGH_BETA
2004-01-20,,,,965.41,,,NSE/CNX_HIGH_BETA
2004-01-21,,,,888.14,,,NSE/CNX_HIGH_BETA
2004-01-22,,,,863.49,,,NSE/CNX_HIGH_BETA
2004-01-23,,,,919.91,,,NSE/CNX_HIGH_BETA
2004-01-27,,,,951.53,,,NSE/CNX_HIGH_BETA
2004-01-28,,,,929.18,,,NSE/CNX_HIGH_BETA
2004-01-29,,,,920.67,,,NSE/CNX_HIGH_BETA
2004-01-30,,,,887.8,,,NSE/CNX_HIGH_BETA
2004-02-03,,,,829.97,,,NSE/CNX_HIGH_BETA
2004-02-04,,,,858.53,,,NSE/CNX_HIGH_BETA
2004-02-05,,,,854.87,,,NSE/CNX_HIGH_BETA
2004-02-06,,,,859.89,,,NSE/CNX_HIGH_BETA
2004-02-09,,,,885.29,,,NSE/CNX_HIGH_BETA
2004-02-10,,,,882.68,,,NSE/CNX_HIGH_BETA
2004-02-11,,,,886.09,,,NSE/CNX_HIGH_BETA
2004-02-12,,,,885.29,,,NSE/CNX_HIGH_BETA
2004-02-13,,,,904.49,,,NSE/CNX_HIGH_BETA
2004-02-16,,,,911.51,,,NSE/CNX_HIGH_BETA
2004-02-17,,,,907.87,,,NSE/CNX_HIGH_BETA
2004-02-18,,,,905.42,,,NSE/CNX_HIGH_BETA
2004-02-19,,,,867.07,,,NSE/CNX_HIGH_BETA
2004-02-20,,,,860.04,,,NSE/CNX_HIGH_BETA
2004-02-23,,,,838.87,,,NSE/CNX_HIGH_BETA
2004-02-24,,,,838.52,,,NSE/CNX_HIGH_BETA
2004-02-25,,,,824.73,,,NSE/CNX_HIGH_BETA
2004-02-26,,,,814.39,,,NSE/CNX_HIGH_BETA
2004-02-27,,,,825.76,,,NSE/CNX_HIGH_BETA
2004-03-01,,,,843.29,,,NSE/CNX_HIGH_BETA
2004-03-03,,,,842.82,,,NSE/CNX_HIGH_BETA
2004-03-04,,,,834.13,,,NSE/CNX_HIGH_BETA
2004-03-05,,,,838.88,,,NSE/CNX_HIGH_BETA
2004-03-08,,,,848.91,,,NSE/CNX_HIGH_BETA
2004-03-09,,,,838.22,,,NSE/CNX_HIGH_BETA
2004-03-10,,,,825.37,,,NSE/CNX_HIGH_BETA
2004-03-11,,,,808.62,,,NSE/CNX_HIGH_BETA
2004-03-12,,,,811.82,,,NSE/CNX_HIGH_BETA
2004-03-15,,,,776.17,,,NSE/CNX_HIGH_BETA
2004-03-16,,,,763.14,,,NSE/CNX_HIGH_BETA
2004-03-17,,,,770.72,,,NSE/CNX_HIGH_BETA
2004-03-18,,,,750.35,,,NSE/CNX_HIGH_BETA
2004-03-19,,,,758.13,,,NSE/CNX_HIGH_BETA
2004-03-22,,,,724.68,,,NSE/CNX_HIGH_BETA
2004-03-23,,,,719.84,,,NSE/CNX_HIGH_BETA
2004-03-24,,,,716.04,,,NSE/CNX_HIGH_BETA
2004-03-25,,,,737.08,,,NSE/CNX_HIGH_BETA
2004-03-26,,,,760.11,,,NSE/CNX_HIGH_BETA
2004-03-29,,,,766.13,,,NSE/CNX_HIGH_BETA
2004-03-30,,,,769.36,,,NSE/CNX_HIGH_BETA
2004-03-31,,,,769.56,,,NSE/CNX_HIGH_BETA
2004-04-01,,,,801.83,,,NSE/CNX_HIGH_BETA
2004-04-02,,,,812.16,,,NSE/CNX_HIGH_BETA
2004-04-05,,,,828.69,,,NSE/CNX_HIGH_BETA
2004-04-06,,,,821.18,,,NSE/CNX_HIGH_BETA
2004-04-07,,,,817.52,,,NSE/CNX_HIGH_BETA
2004-04-08,,,,824.86,,,NSE/CNX_HIGH_BETA
2004-04-12,,,,825.75,,,NSE/CNX_HIGH_BETA
